country,gender,user_count,average_age,summary_text
Germany,male,2,58.0,"In Germany, there are 2 users of gender male with an average age of 58.0 years."
Norway,male,2,70.5,"In Norway, there are 2 users of gender male with an average age of 70.5 years."
Denmark,male,7,45.142857142857146,"In Denmark, there are 7 users of gender male with an average age of 45.1 years."
Mexico,female,2,48.0,"In Mexico, there are 2 users of gender female with an average age of 48.0 years."
Serbia,female,1,61.0,"In Serbia, there are 1 users of gender female with an average age of 61.0 years."
Ukraine,male,6,49.0,"In Ukraine, there are 6 users of gender male with an average age of 49.0 years."
Brazil,female,2,34.0,"In Brazil, there are 2 users of gender female with an average age of 34.0 years."
Norway,female,2,36.0,"In Norway, there are 2 users of gender female with an average age of 36.0 years."
Canada,male,2,41.5,"In Canada, there are 2 users of gender male with an average age of 41.5 years."
Ukraine,female,3,53.0,"In Ukraine, there are 3 users of gender female with an average age of 53.0 years."
India,male,3,54.0,"In India, there are 3 users of gender male with an average age of 54.0 years."
Canada,female,3,38.666666666666664,"In Canada, there are 3 users of gender female with an average age of 38.7 years."
United Kingdom,female,3,43.666666666666664,"In United Kingdom, there are 3 users of gender female with an average age of 43.7 years."
New Zealand,female,3,37.666666666666664,"In New Zealand, there are 3 users of gender female with an average age of 37.7 years."
Germany,female,2,70.0,"In Germany, there are 2 users of gender female with an average age of 70.0 years."
Australia,male,3,37.666666666666664,"In Australia, there are 3 users of gender male with an average age of 37.7 years."
Spain,female,5,60.8,"In Spain, there are 5 users of gender female with an average age of 60.8 years."
United States,female,2,56.5,"In United States, there are 2 users of gender female with an average age of 56.5 years."
France,male,5,62.6,"In France, there are 5 users of gender male with an average age of 62.6 years."
Mexico,male,3,60.666666666666664,"In Mexico, there are 3 users of gender male with an average age of 60.7 years."
Iran,male,5,39.4,"In Iran, there are 5 users of gender male with an average age of 39.4 years."
India,female,2,48.5,"In India, there are 2 users of gender female with an average age of 48.5 years."
Ireland,male,3,50.333333333333336,"In Ireland, there are 3 users of gender male with an average age of 50.3 years."
Spain,male,3,29.0,"In Spain, there are 3 users of gender male with an average age of 29.0 years."
Denmark,female,2,70.0,"In Denmark, there are 2 users of gender female with an average age of 70.0 years."
New Zealand,male,3,49.0,"In New Zealand, there are 3 users of gender male with an average age of 49.0 years."
Iran,female,1,34.0,"In Iran, there are 1 users of gender female with an average age of 34.0 years."
Turkey,male,1,73.0,"In Turkey, there are 1 users of gender male with an average age of 73.0 years."
Finland,male,3,61.0,"In Finland, there are 3 users of gender male with an average age of 61.0 years."
Netherlands,male,3,34.333333333333336,"In Netherlands, there are 3 users of gender male with an average age of 34.3 years."
United Kingdom,male,3,51.666666666666664,"In United Kingdom, there are 3 users of gender male with an average age of 51.7 years."
Finland,female,2,63.5,"In Finland, there are 2 users of gender female with an average age of 63.5 years."
Brazil,male,1,74.0,"In Brazil, there are 1 users of gender male with an average age of 74.0 years."
Serbia,male,1,81.0,"In Serbia, there are 1 users of gender male with an average age of 81.0 years."
Switzerland,female,3,51.666666666666664,"In Switzerland, there are 3 users of gender female with an average age of 51.7 years."
Turkey,female,1,25.0,"In Turkey, there are 1 users of gender female with an average age of 25.0 years."
Switzerland,male,2,50.5,"In Switzerland, there are 2 users of gender male with an average age of 50.5 years."
